Line Order,Amount,Region,Month
L1-01,33801,NA,Apr
L1-02,20225,NA,Apr
L1-03,24313,NA,Apr
L1-10-01,30591,NA,Apr
L1-11-01,-3818,NA,Apr
L1-12-01,23476,NA,Apr
L1-13-01,-95348,NA,Apr
L1-14-01,-91274,NA,Apr
L2-01-01,-37272,NA,Apr
L3-01-01,-132138,NA,Apr
L3-01-02,-19522,NA,Apr
L3-01-04,-4536,NA,Apr
L3-01-05,30184,NA,Apr
L3-02-01,-204280,NA,Apr
L3-02-02,-29257,NA,Apr
L3-02-03,-2587,NA,Apr
L3-02-04,0,NA,Apr
L3-03-01,2316,NA,Apr
L3-03-02,-40112,NA,Apr
L4-01-01,-12010,NA,Apr
L4-02-01,-57144,NA,Apr
L1-01,-75382,EU,Apr
L1-02,16118,EU,Apr
L1-03,38720,EU,Apr
L1-10-01,89008,EU,Apr
L1-11-01,4335,EU,Apr
L1-12-01,28353,EU,Apr
L1-13-01,-53769,EU,Apr
L1-14-01,-76533,EU,Apr
L2-01-01,428,EU,Apr
L3-01-01,-50324,EU,Apr
L3-01-02,0,EU,Apr
L3-01-04,-76,EU,Apr
L3-01-05,-857,EU,Apr
L3-02-01,0,EU,Apr
L3-02-02,69190,EU,Apr
L3-02-03,25547,EU,Apr
L3-02-04,0,EU,Apr
L3-03-01,4854,EU,Apr
L3-03-02,-2859,EU,Apr
L4-01-01,-97650,EU,Apr
L4-02-01,-4308,EU,Apr
L1-01,250968,MENA,Apr
L1-02,55421,MENA,Apr
L1-03,-44168,MENA,Apr
L1-10-01,-3436,MENA,Apr
L1-11-01,-12553,MENA,Apr
L1-12-01,-3875,MENA,Apr
L1-13-01,-4375,MENA,Apr
L1-14-01,-5449,MENA,Apr
L2-01-01,1461,MENA,Apr
L3-01-01,-344551,MENA,Apr
L3-01-02,0,MENA,Apr
L3-01-04,-15680,MENA,Apr
L3-01-05,-5368,MENA,Apr
L3-02-01,0,MENA,Apr
L3-02-02,-1321,MENA,Apr
L3-02-03,24525,MENA,Apr
L3-02-04,0,MENA,Apr
L3-03-01,0,MENA,Apr
L3-03-02,0,MENA,Apr
L4-01-01,-62558,MENA,Apr
L4-02-01,226700,MENA,Apr
